Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_80,VAR_2_80,Individual,Census usually resident population count,2013,Count,Years at usual residence,Total stated,"Subject pop: Census usually resident population count, Year: 2013, Measure: Count, Var1: Years at usual residence (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_81,VAR_2_81,Individual,Census usually resident population count,2013,Mean,Years at usual residence,Average,"Subject pop: Census usually resident population count, Year: 2013, Measure: Mean, Var1: Years at usual residence (Average)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_82,VAR_2_82,Individual,Census usually resident population count,2018,Count,Years at usual residence,0 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (0 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_83,VAR_2_83,Individual,Census usually resident population count,2018,Count,Years at usual residence,1-4 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (1-4 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_84,VAR_2_84,Individual,Census usually resident population count,2018,Count,Years at usual residence,5-9 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (5-9 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_85,VAR_2_85,Individual,Census usually resident population count,2018,Count,Years at usual residence,10-14 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (10-14 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_86,VAR_2_86,Individual,Census usually resident population count,2018,Count,Years at usual residence,15-29 years,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (15-29 years)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_87,VAR_2_87,Individual,Census usually resident population count,2018,Count,Years at usual residence,30 years or more,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (30 years or more)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_88,VAR_2_88,Individual,Census usually resident population count,2018,Count,Years at usual residence,Not elsewhere included,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (Not elsewhere included)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_89,VAR_2_89,Individual,Census usually resident population count,2018,Count,Years at usual residence,Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (Total)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_90,VAR_2_90,Individual,Census usually resident population count,2018,Count,Years at usual residence,Total stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Years at usual residence (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_91,VAR_2_91,Individual,Census usually resident population count,2018,Mean,Years at usual residence,Average,"Subject pop: Census usually resident population count, Year: 2018, Measure: Mean, Var1: Years at usual residence (Average)"
