Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_86,VAR_4_86,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Five usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Five usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_87,VAR_4_87,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Six usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Six usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_88,VAR_4_88,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Seven usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Seven usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_89,VAR_4_89,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Eight or more usual residents,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Eight or more usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_90,VAR_4_90,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Number of usual residents unidentifiable,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Number of usual residents unidentifiable)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_91,VAR_4_91,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Total,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_92,VAR_4_92,Household,Households in occupied private dwellings,2013,Count,Number of usual residents in household,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Number of usual residents in household (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_93,VAR_4_93,Household,Households in occupied private dwellings,2013,Mean,Number of usual residents in household,Average,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Mean, Var1: Number of usual residents in household (Average)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_94,VAR_4_94,Household,Households in occupied private dwellings,2018,Count,Number of usual residents in household,One usual resident,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Number of usual residents in household (One usual resident)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_95,VAR_4_95,Household,Households in occupied private dwellings,2018,Count,Number of usual residents in household,Two usual residents,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Number of usual residents in household (Two usual residents)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_96,VAR_4_96,Household,Households in occupied private dwellings,2018,Count,Number of usual residents in household,Three usual residents,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Number of usual residents in household (Three usual residents)"
